index_set,mean_acc,std_acc,test_accuracy,estimator_name,num_layers,hidden_size,d_model,nhead,out_channels,dropout,weight_decay,lr,scheduler_factor,batch_size,score
27,96.8,1.9,86.7,Transformer,2,-,48,12,-,0.125,2.5e-06,3.5e-03,0.4,28,94.9
164,95.7,2.1,84.2,Transformer,2,-,48,2,-,0.125,1.0e-06,4.5e-03,0.6,32,93.6
49,95.0,1.7,84.2,Transformer,2,-,60,12,-,0.125,5.0e-07,5.0e-03,0.5,36,93.3
279,95.7,2.7,90.8,Transformer,2,-,36,4,-,0.1,7.5e-07,4.0e-03,0.5,32,93.0
128,95.7,3.1,88.3,Transformer,3,-,36,4,-,0.1,5.0e-07,3.5e-03,0.4,28,92.6
186,95.0,2.9,91.7,Transformer,2,-,36,4,-,0.05,2.5e-06,5.0e-03,0.6,32,92.1
157,95.0,2.9,88.3,Transformer,2,-,60,4,-,0.175,5.0e-07,4.0e-03,0.6,36,92.1
300,94.3,2.4,90.8,Transformer,2,-,60,3,-,0.175,7.5e-07,3.5e-03,0.6,28,91.9
25,95.4,3.6,88.3,Transformer,2,-,48,3,-,0.125,5.0e-07,4.5e-03,0.6,28,91.8
26,95.4,3.6,88.3,Transformer,2,-,72,4,-,0.15,5.0e-07,3.5e-03,0.4,36,91.8
174,94.6,2.9,90.8,Transformer,2,-,60,4,-,0.15,2.5e-06,4.0e-03,0.6,32,91.8
125,94.6,2.9,85.8,Transformer,2,-,36,2,-,0.0,5.0e-07,4.5e-03,0.6,32,91.8
47,94.6,2.9,87.5,Transformer,2,-,36,12,-,0.0,2.5e-06,5.5e-03,0.4,32,91.8
184,95.0,3.3,91.7,Transformer,2,-,36,12,-,0.175,2.5e-06,5.0e-03,0.6,32,91.7
33,95.0,3.3,86.7,Transformer,2,-,48,12,-,0.025,5.0e-06,3.5e-03,0.4,36,91.7
236,93.9,2.3,87.5,Transformer,2,-,60,4,-,0.175,5.0e-06,4.0e-03,0.6,36,91.6
261,93.9,2.3,86.7,Transformer,3,-,36,12,-,0.05,5.0e-06,3.5e-03,0.4,36,91.6
68,96.1,4.6,92.5,Transformer,2,-,36,12,-,0.1,1.0e-06,4.0e-03,0.4,36,91.4
39,93.6,2.1,86.7,Transformer,2,-,48,3,-,0.175,7.5e-07,4.0e-03,0.5,28,91.4
101,94.3,2.9,85.8,Transformer,2,-,72,12,-,0.075,5.0e-06,3.5e-03,0.6,28,91.4
233,94.3,2.9,90.0,Transformer,2,-,36,2,-,0.175,5.0e-06,4.5e-03,0.4,36,91.4
13,95.0,3.6,87.5,Transformer,2,-,48,12,-,0.125,2.5e-06,3.5e-03,0.6,36,91.4
112,94.6,3.3,87.5,Transformer,3,-,48,12,-,0.025,5.0e-06,3.5e-03,0.5,36,91.4
247,94.6,3.3,90.8,Transformer,2,-,36,12,-,0.125,2.5e-06,3.5e-03,0.4,32,91.4
250,93.2,1.9,82.5,Transformer,3,-,36,12,-,0.075,7.5e-07,4.0e-03,0.4,32,91.3
272,93.9,2.8,89.2,Transformer,2,-,60,4,-,0.0,5.0e-07,3.5e-03,0.4,28,91.1
160,95.4,4.2,90.8,Transformer,2,-,48,3,-,0.05,1.0e-06,3.5e-03,0.5,36,91.1
190,94.3,3.3,91.7,Transformer,2,-,36,3,-,0.15,5.0e-07,3.5e-03,0.5,28,91.0
245,94.3,3.3,89.2,Transformer,2,-,36,12,-,0.0,5.0e-06,5.5e-03,0.5,36,91.0
